word	char_issue
afribbe	v.
afride	v.
Afrids	sb.
afridse	v.
Afridsning	sb.
afrigge	v.
Afrikaner	sb.
afrikansk	adj.
afrime	v.
afringe	v.
afringe	v.
afrise	v.
afrive	v.
afrive	v.
Afrivningsblok	sb.
Afrivningskalender	sb.
afrulle	v.
afrunde	v.
Afrundethed	sb.
Afrunding	sb.
afruske	v.
afruste	v.
afruste	v.
afrydde	v.
afryge	v.
afrykke	v.
afryste	v.
afrække	v.
afrøfle	v.
Afrøfling	sb.
afrøge	v.
afrømme	v.
Afrømning	sb.
afraabe	v.
afraade	v.
afsadle	v.
afsagt	adj.
afsamle	v.
Afsats	sb.
afsave	v.
Afsavn	sb.
afse	v.
afsejle	v.
afsele	v.
afsende	v.
Afsender	sb.
Afsenderapparat	sb.
Afsenderstation	sb.
Afsending	sb.
Afsending	sb.
afsi	v.
afsidde	v.
Afside	sb.
afsides	adv.
Afsideshed	sb.
Afsidesreplik	sb.
afsige	v.
Afsigt	sb.
Afsigt	sb.
afsigte	v.
Afsigtning	sb.
Afsind	sb.
afsindet	adj.
afsindig	adj.
Afsindighed	sb.
afsive	v.
afsjæle	v.
afskaffe	v.
afskage	v.
afskalle	v.
Afskalning	sb.
afskave	v.
Afsked	sb.
afskede	v.
afskedige	v.
Afskedigelse	sb.
Afskeds-	i ssgr.
Afskedsaften	sb.
Afskedsansøgning	sb.
Afskedsaudiens	sb.
Afskedsbegæring	sb.
Afskedsbesøg	sb.
Afskedsbevis	sb.
Afskedsblik	sb.
Afskedsbrev	sb.
Afskedsbæger	sb.
Afskedsfest	sb.
Afskedsforestilling	sb.
Afskedsgilde	sb.
Afskedsglas	sb.
Afskedshilsen	sb.
Afskedskompliment	sb.
Afskedskys	sb.
Afskedsmiddag	sb.
Afskedsord	sb.
Afskedspas	sb.
Afskedspatent	sb.
Afskedsprædiken	sb.
Afskedssang	sb.
Afskedsseddel	sb.
Afskedsstund	sb.
Afskedstale	sb.
Afskedstime	sb.
Afskedstaare	sb.
Afskedsvisit	sb.
Afskedtagen	sb.
afskedtagende	adj.
afskeje	v.
afskibe	v.
Afskiber	sb.
Afskibningsbog	sb.
Afskibningshavn	sb.
Afskibningssted	sb.
afskifte	v.
afskikke	v.
afskildre	v.
Afskildring	sb.
afskille	v.
afskilre	v.
afskimre	v.
Afskin	sb.
afskodde	v.
afskolde	v.
afskove	v.
Afskrab	sb.
afskrabe	v.
Afskrabning	sb.
afskridte	v.
Afskrift	sb.
afskrige	v.
afskrive	v.
Afskriver	sb.
Afskriveri	sb.
afskrubbe	v.
afskrue	v.
Afskræk	sb.
afskrække	v.
Afskrækkelsesmiddel	sb.
Afskrækkelsesmiddelteori	sb.
afskrælle	v.
Afskrælling	sb.
afskræmme	v.
afskrænge	v.
afskraa	v.
afskraa	v.
Afskraaer	sb.
afskraane	v.
Afskraaning	sb.
Afskraaning	sb.
Afskum	sb.
afskumme	v.
afskure	v.
afsky	v.
Afsky	sb.
afskyde	v.
afskyelig	adj.
Afskyelighed	sb.
Afskyer	sb.
afskygge	v.
Afskygning	sb.
Afskyl	sb.
afskylle	v.
afskyvækkende	adj.
afskænke	v.
afskære	v.
Afskærelse	sb.
afskørte	v.
Afslag	sb.
Afslagning	sb.
afslagte	v.
afslamme	v.
afslappe	v.
Afslappelse	sb.
Afslebethed	sb.
afslette	v.
afslibe	v.
Afslid	sb.
afslide	v.
afslikke	v.
afslime	v.
afslingre	v.
afslumre	v.
Afslutning	sb.
afslutte	v.
Afsluttethed	sb.
Afslæt	sb.
Afslætning	sb.
afsløjfe	v.
afsløre	v.
Afsløring	sb.
afsløve	v.
afslaa	v.
Afsmag	sb.
afsmagelig	adj.
afsmagende	adj.
afsmalle	v.
afsmalne	v.
afsmelte	v.
Afsmeltning	sb.
afsmergle	v.
afsminke	v.
afsmitte	v.
afsmøge	v.
afsnakke	v.
Afsnit	sb.
afsnitte	v.
afsnore	v.
afsnubbe	v.
afsnøre	v.
afsondre	v.
Afsondren	sb.
Afsondring	sb.
Afsondringsflade	sb.
Afsondringsgave	sb.
Afsondringsgrav	sb.
Afsondringskar	sb.
Afsondringsskammel	sb.
Afsondringssystem	sb.
afsone	v.
afspalte	v.
Afspaltningsflade	sb.
afspare	v.
afspejde	v.
Afspejl	sb.
afspejle	v.
Afspejling	sb.
afspille	v.
afspinde	v.
afspise	v.
afsplintre	v.
afspole	v.
afspore	v.
Afspring	sb.
afspringe	v.
afsprænge	v.
afsprætte	v.
afspule	v.
afspunse	v.
afspække	v.
afspænde	v.
afspændig	adj.
Afspænding	sb.
Afspændthed	sb.
afspænstig	adj.
afspærre	v.
Afspærring	sb.
afstamme	v.
Afstammelse	sb.
Afstamming	sb.
Afstamning	sb.
Afstamningslære	sb.
Afstand	sb.
Afstands-	i ssgr.
Afstandsbedømmelse	sb.
Afstandsbestemmelse	sb.
Afstandsfragt	sb.
Afstandsgisning	sb.
Afstandsmærke	sb.
Afstandsmaaler	sb.
Afstandsopfattelse	sb.
Afstandssignal	sb.
Afstandstagen	sb.
Afstandstagning	sb.
Afstandstal	sb.
Afstandtagen	sb.
afstandtagende	adj.
afstatte	v.
afsted	adv.
afstedbringe	v.
afstede	v.
afstedkomme	v.
afstemme	v.
afstemple	v.
afstene	v.
Afsti	sb.
afstige	v.
Afstik	sb.
afstikke	v.
Afstikker	sb.
Afstikkerstaal	sb.
afstille	v.
afstive	v.
Afstiver	sb.
Afstivning	sb.
afstokke	v.
afstolpe	v.
Afstopning	sb.
afstoppe	v.
afstraffe	v.
afstrege	v.
afstrejfe	v.
afstrenge	v.
afstribe	v.
afstride	v.
afstrigle	v.
afstryge	v.
Afstrøg	sb.
afstrøjfe	v.
afstrømme	v.
Afstrømning	sb.
afstraale	v.
afstudse	v.
afstumpe	v.
afstuve	v.
afstyre	v.
afstyrte	v.
afstænge	v.
afstøbe	v.
Afstøbning	sb.
Afstød	sb.
afstøde	v.
Afstødning	sb.
afstøtte	v.
afstøve	v.
afstaa	v.
Afstaaelse	sb.
Afstaaelsessum	sb.
afsuge	v.
Afsuger	sb.
Afsugning	sb.
afsvale	v.
afsvampe	v.
afsvide	v.
Afsving	sb.
afsvovle	v.
afsvække	v.
afsvære	v.
afsværge	v.
afsynge	v.
afsysle	v.
afsæbe	v.
afsælde	v.
afsælge	v.
afsænke	v.
Afsænkning	sb.
Afsæt	sb.
Afsætning	sb.
Afsætningsforhold	sb.
Afsætningsforretning	sb.
Afsætningshaver	sb.
Afsætningshavn	sb.
Afsætningsmarked	sb.
Afsætningsomraade	sb.
afsætte	v.
afsættelig	adj.
Afsættelighed	sb.
afsøge	v.
afsølve	v.
aftage	v.
aftagelig	adj.
Aftagelse	sb.
Aftagende	sb.
Aftager	sb.
Aftagning	sb.
aftakke	v.
Aftakker	sb.
aftakle	v.
aftale	v.
Aftale	sb.
Aftapningsanstalt	sb.
Aftapningshane	sb.
aftappe	v.
Aftapshane	sb.
aftavle	v.
Aftegn	sb.
aftegne	v.
Aftegning	sb.
aftelefonere	v.
aftelegrafere	v.
Aften-	i ssgr.
Aften	sb.
Aftenandagt	sb.
Aftenavis	sb.
Aftenbakke	sb.
Aftenbelysning	sb.
Aftenblad	sb.
Aftenblod	sb.
Aftenbløde	sb.
aftenblaa	adj.
Aftenblaa	sb.
Aftenblaane	sb.
Aftenblaanen	sb.
Aftenbord	sb.
Aftenbrise	sb.
Aftenbrød	sb.
Aftenbøn	sb.
Aftencirkel	sb.
Aftendale	sb.
Aftendrik	sb.
Aftendug	sb.
Aftendyr	sb.
Aftendæmring	sb.
Aftenfalk	sb.
Aftenfred	sb.
Aftengang	sb.
Aftengrød	sb.
Aftengraad	sb.
Aftengudstjeneste	sb.
Aftenguld	sb.
Aftenhimmel	sb.
Aftenhøne	sb.
Aftenklokke	sb.
Aftenkonge	sb.
Aftenkost	sb.
Aftenkreds	sb.
Aftenkvæld	sb.
Aftenkøle	sb.
Aftenkøling	sb.
Aftenkaabe	sb.
Aftenlag	sb.
Aftenland	sb.
aftenlig	adj.
Aftenluft	sb.
Aftenmand	sb.
Aftenmenneske	sb.
Aftenmesse	sb.
Aftenmælk	sb.
Aftenmaal	sb.
Aftenpassiar	sb.
Aftenpibe	sb.
Aftenpost	sb.
Aftenpragtstjerne	sb.
Aftenravn	sb.
Aftenrede	sb.
Aftenrunde	sb.
Aftenrusk	sb.
aftenrød	adj.
Aftenrød	sb.
Aftenrøde	sb.
aftenrødes	v.
Aftenrødt	sb.
Aftensalme	sb.
Aftensang	sb.
Aftensangspræst	sb.
Aftensbord	sb.
Aftenselskab	sb.
Aftenskole	sb.
Aftenskumring	sb.
Aftensky	sb.
Aftensmad	sb.
Aftensmaaltid	sb.
Aftensol	sb.
Aftensommerfugl	sb.
Aftenspise	sb.
Aftenspisning	sb.
Aftenstid	sb.
Aftenstilhed	sb.
aftenstille	adj.
Aftenstille	sb.
Aftenstjerne	sb.
